unit,guest,date,rating,source,text
studio,Mikhail.,2025-08,5,airbnb,Liz's place was located in a gorgeous neighborhood overlooking the mountains. The apartment was pristine and she even made her own zucchini bread!
studio,Anna.,2025-08,5,airbnb,Can’t say enough about how accommodating Liz was. Her place was the perfect stay for our little family of 3 and what a gorgeous view!
studio,Alex.,2025-08,5,airbnb,"This was a super quick trip for me, late arrival and very early start the next day. Found the home very clean and comfortable.  Thanks for letting me stay."
studio,Molly.,2025-07,5,airbnb,"This place was quiet, clean and beautifully appointed. It had everything we needed and more—an amazing deck to hang out on and enjoy Leavenworth’s beautiful views."
studio,Stevanie.,2025-07,5,airbnb,"Beautiful studio had all we needed for a couples getaway. It was a  little walk into town, but we enjoyed the privacy. Would definitely stay here again."
studio,Molly.,2025-07,5,airbnb,Beautiful studio- absolutely pristine and new with nice views! Liz was extremely responsive and helpful. We would stay here again in a heartbeat!
studio,Hattie.,2025-05,5,airbnb,"We sadly only got to stay two nights, but it was a lovely trip! Would stay here again. We were surprised, and honestly a little bit disappointed, to show up and realize that the unit was adjoined to the main house and with an interior door also. I'm sure that is completely on me not reading the listing fully though! And we were pleasantly surprised with how quiet it was! We were never disturbed whatsoever and never saw a soul. It was a very peaceful stay and I soaked up the view! It had everything we needed, minus shower water pressure and a means of temperature control. We got a little bit too warm at times, and the cross breeze we created wasn't quite enough to cool to the degree we would like, but we just know for next time to pick a stay no later in the months than we did. Again, would recommend and revisit. The best part about our stay was the walkability. It's about a mile and a half into town and it's a lovely walk, so we definitely took advantage of that. Thanks, Liz!Response from LizJune 2025Thanks for staying with us and for your feedback! We’ll make some adjustments to the cooling in the studio - we didn’t have the AC turned on yet for the summer (wish we had known it was a bit stuffy for you all!) - sorry for your discomfort! Should you want to come back next year, we can definitely have it turned on earlier in the season to keep things cool!Show more"
studio,Sandy.,2025-07,5,airbnb,Beautiful studio with comfortable furniture and wonderful view!
studio,Gary.,2025-05,5,airbnb,We loved our stay. Hope to stay longer next time. The view? Priceless!
studio,Kayla.,2025-11,5,airbnb,Such an amazing spot!
studio,Angelito.,2025-09,5,airbnb,Really cozy and perfect for 2. Clean and comfy suite!
studio,Jessica.,2025-08,5,airbnb,"Super cute place and really close to town, perfect for the two of us- thanks!!Seung Hee"
studio,Du.,2025-08,5,airbnb,Liz’s place was just perfect for a weekend getaway! Thank you Liz for having us!! (:
studio,Andrew.,2025-07,5,airbnb,"great view, great location. would recommend to anyone!"
studio,Viktar.,2025-06,5,airbnb,"Great place, host, location. View from the balcony is breathtaking!"
studio,Hayley.,2025-06,5,airbnb,"awesome place, super quiet, really peaceful and lovely! will definitely stay again"
studio,Rachel.,2025-06,4,airbnb,This place has beautiful views and is very clean.
